subj bias_aic RL_aic RL_Lag_aic RL_door_aic RL_Lag_door_aic Bev Blag Bdoor 
3092 262.193515593 261.536287098 263.53629603 226.705269842 228.705270019 0.145236825137 1.14779763474e-10 1.34874439781 
3093 256.977088028 266.21253629 268.212539132 210.004985427 212.004985427 0.109964713664 1.24879119939e-13 -28.753400898 
3094 279.372919241 281.258872224 283.258902952 17.0532499737 19.053249974 0.461952262662 5.14400178154e-11 8.21482330634 
3095 270.642531169 271.633334718 273.083960346 255.589858545 257.199058823 0.104815709267 0.0237032521029 -1.25258353701 
8120 157.597120101 177.363078808 179.363084684 90.3907872978 92.3907872978 0.443914966921 9.69217747822e-17 -35.303247403 
8121 278.878595444 281.258872224 283.170633939 39.5401073695 41.5401094989 1.05628132588e-07 2.65320183543e-09 4.57470532286 
8122 160.432085659 176.022128278 178.022131346 112.585066926 114.585066926 0.350422427323 8.73831881519e-17 -33.9627461869 
3096 281.080363115 281.258872224 280.326978402 6.0 8.0 16.4762395933 1.63944016003 204.130936676 
3097 281.251616697 279.96655351 281.966559192 280.221282547 282.221282568 0.0311014822811 4.6758650335e-10 0.29217739395 
3098 201.720412973 210.764065071 212.764067236 211.945209113 213.945209142 0.212516927863 3.38674513708e-10 -0.258636319395 
3099 278.955537383 281.258872224 281.797285516 39.5401073766 41.5401083716 3.94812928718e-09 6.15556452544e-08 4.57513189951 
3100 271.061374541 274.684928093 270.67923152 276.682523426 272.67587866 0.0917657100987 0.106384774834 0.0135953230914 
3101 73.523826316 64.5470836936 66.5470848436 66.4019517317 68.4019520351 0.504810652556 3.47682679747e-10 -0.214152369563 
3102 281.529438735 280.347101094 282.34710275 233.645389912 235.633406516 0.0301440151697 0.0039405766788 -3.50481858872 
3103 269.26788629 270.253609147 272.253613945 155.677118354 157.677118431 0.157637869747 6.7502301328e-10 2.49657766889 
3104 278.161919967 277.67059119 277.418430774 258.009332628 258.075317162 0.0722527002393 0.0543173060936 0.971985599164 
8123 277.761250608 276.832978331 278.832981537 277.219054373 279.219054511 0.054806694253 4.35783123537e-09 0.282452642648 
8124 282.195831292 281.258408831 283.258411035 105.732359034 106.835022222 0.0100973406427 0.0546167677127 3.13925010901 
8125 279.758775258 279.535914284 281.535918332 28.9849924762 30.9849924847 0.130996654309 6.39373386974e-11 5.19217281538 
8126 260.160295839 264.574489357 263.055920344 208.519050252 207.71279502 0.14252152745 0.0689146102111 -37.0793069332 
8127 272.31478809 272.313682627 274.313686953 220.849079066 222.84907907 0.110349815011 3.17877829991e-13 -3.68461393324 
8128 280.221123532 279.782839545 281.77278211 271.488872331 273.475104257 0.031579905262 0.00353620591505 -0.887065868027 
8129 273.302198487 281.258872224 283.258919697 225.722457734 227.722458258 6.11881465008e-09 4.74547517165e-10 -20.2462186791 
2105 116.216183127 148.418402027 150.418407937 51.9187250063 53.9187250094 0.765809105466 8.78227924443e-12 -7.76500599463 
2106 159.296554561 173.226449834 175.226454971 70.0741437281 72.0741437281 0.588233861935 4.77527813685e-19 -40.1715171181 
2107 141.266559369 135.815052825 137.815053755 128.250510894 130.250510938 0.370202560389 9.57840049641e-11 -1.25934340767 
2108 279.199332096 278.441049398 271.931022512 279.557453174 272.90629245 0.0621579164636 0.130491626954 0.231225581825 
2109 279.847883398 278.232578874 278.726865538 6.0 8.0 6.94333787193 0.970865695339 109.846766611 
2110 281.759254029 281.258872224 279.431776092 6.0 8.0 0.240779620134 0.1211436122 43.7228727856 
2111 265.001205732 281.258872224 283.258941827 274.435879521 276.89106391 3.78732398706e-07 3.87583902954e-08 -0.606529057241 
2112 276.715466413 281.258872224 283.255415698 19.3975314543 21.3975091936 2.31648420717e-09 0.000948260185338 5.69363496038 
2113 267.944035717 269.891007955 258.779028495 214.021774398 203.360361608 0.14579010021 0.182979158906 -37.4120713248 
2114 237.828469131 247.98766076 249.987662316 200.477068339 202.477068348 0.163212450555 1.22309353474e-10 -3.65284195681 
2115 248.114745105 259.139703478 260.294994478 206.836780203 207.971726305 0.133079141709 0.0305537519995 -36.4657574401 
2116 282.707476064 281.258872224 283.258934144 39.5401073805 41.5401100879 6.68179968749e-08 3.695728493e-09 4.57547800573 
2117 280.130252425 280.954363919 272.11399492 264.33025155 256.522123481 0.0241485902447 0.149653491534 0.888123543154 
