subj RL RL_auto switch switch_prob bias random lag Bev Blag
62021 267.439463975 261.386862599 276.627363472 0.181817346485 270.768511457 277.258872224 238.985144258 0.210074798179 0.319750669631 
62022 280.503518825 262.491677697 257.499139946 0.0707125897643 282.03886805 277.258872224 243.997325232 21.1902594663 0.405094614003 
62023 281.258872224 246.031135342 242.593351984 0.0303042422289 283.021887769 277.258872224 211.351251223 -0.0613871348925 0.659543575988 
62024 280.7831511 244.921878606 242.593352043 0.0303073938764 281.251616687 277.258872224 211.428885415 0.0923073844576 0.649951207507 
62025 200.688801047 196.366788321 266.521045847 0.414145327098 193.789454522 277.258872224 193.137472467 0.250216238813 -0.0510436112991 
62026 81.2936099166 67.7347284401 159.593583328 0.499999830614 144.949204996 277.258872224 82.6674682638 0.628794568429 0.0289312153583 
62027 275.987632625 276.745152798 278.840708592 0.222220489817 278.011613474 277.258872224 275.645726092 0.0856537027984 0.0576739792839 
62028 278.06136835 272.548095768 272.226089348 0.1414056969 278.205809192 277.258872224 272.069016767 15.9349523267 0.121415552924 
62029 281.258872224 240.60014686 237.470584587 0.0202062150812 283.021887898 277.258872224 115.438978148 -18.219058091 1.71896250214 
20162 281.258872224 268.224935931 265.130330776 0.101006257591 282.195831439 277.258872224 256.674240261 -11.1656712797 0.292520778818 
20163 279.467847213 263.415422845 262.840748001 0.0909150900739 279.970761041 277.258872224 219.602542667 0.119048486722 0.583073725236 
20164 281.258872224 240.932722029 237.470584569 0.0202057852251 283.0988297 277.258872224 196.549582045 0.753038380536 0.777779991694 
20169 279.642855284 247.050710004 242.59335198 0.0303035141557 281.080363193 277.258872224 202.04687231 0.112458859681 0.723621956449 
62036 281.188384639 250.2897446 247.015689649 0.0404083069014 282.457113012 277.258872224 213.589127373 0.0357322657659 0.639670217154 
62037 280.752053608 265.349695842 262.840747963 0.0909070132485 280.407338102 277.258872224 261.736663837 44.73291033 0.244530189187 
62038 234.157276751 215.660754151 232.101955837 0.499999739804 218.148043714 277.258872224 228.559957683 0.125502584424 -0.0718009524738 
62039 104.142953834 106.142289103 192.551935901 0.499999810618 134.074997319 277.258872224 106.063604758 0.447394245534 -0.0095136134421 
62040 281.069482394 245.659513817 242.593352014 0.0303062194926 282.688167603 277.258872224 193.40770024 0.0587478154472 0.803630329239 
1111 170.294709667 161.850181663 256.018775778 0.474745782661 225.441376706 277.258872224 165.860780808 107.777138146 0.147633693827 
1112 136.412626695 138.342163896 207.932556999 0.499999428168 159.630912134 277.258872224 122.464500904 0.77852741399 0.184909162677 
1113 280.075400487 272.524961243 270.73121445 0.131313165897 281.080363326 277.258872224 230.280976441 4.6229849294 0.490760154786 
1114 271.168450818 252.83017209 267.197106508 0.111112870155 274.148231839 277.258872224 245.072311097 0.350207106228 0.273134821294 
1115 281.258872224 257.403130582 254.383585387 0.060604839001 282.234636496 277.258872224 220.437658414 -17.0969499707 0.597554560949 
62041 281.253093607 240.88477898 237.470584557 0.020205431383 281.893333321 277.258872224 206.99003546 0.133100791181 0.70344203194 
62042 281.252851214 240.86903828 237.470584501 0.0202027190236 283.098829958 277.258872224 110.141054952 -13.2421403856 1.80218876718 
62043 281.258872224 254.418432512 247.015689855 0.0404139845139 283.021888107 277.258872224 210.339857697 6.26177271479 0.671848185146 
50018 268.150969213 257.707402108 272.226089294 0.141411918761 269.176945558 277.258872224 245.116273746 0.171882681335 0.270398260229 
50019 281.258872224 271.491356259 274.725578963 0.16161714239 278.557401457 277.258872224 260.901371315 -0.314332360758 0.221582824466 
50020 44.6871047211 45.6727342302 166.185251876 0.499999834247 85.6029915089 277.258872224 41.0759896731 137.668475103 0.621751773355 
50117 281.210629134 225.57940342 222.297821879 5.55111512313e-17 283.015472384 277.258872224 154.599288518 0.0918165753042 1.20449396578 
50119 281.258872224 263.03106888 260.306260761 0.0808126228248 283.021888033 277.258872224 251.522939878 -18.3146323346 0.310757251345 
50023 211.36097779 203.425687144 274.01729318 0.353554294402 249.080898276 277.258872224 207.944299641 79.6846453152 0.115980906537 
50024 279.42243142 236.625952018 237.470584501 0.0202027013644 281.111193659 277.258872224 238.061743538 0.106081841874 0.393646122408 
50025 281.175980037 245.811010643 242.5933521 0.0303090234381 281.759254056 277.258872224 254.615056939 4.38142013696 0.281810722819 
