subj RL RL_auto switch switch_prob bias random lag Bev Blag
50139 6.77258872224 8.19722457734 142.01573331 0.499999992836 6.50295004452 277.258872224 8.77258872224 5.44690198651 -3.11600627944 
50140 92.5636993212 94.5182476535 183.763059792 0.499999744468 100.206516672 277.258872224 93.9353249822 0.445496856744 0.0174539751531 
50141 6.77258872224 6.0 142.01580122 0.499999821347 9.66500203356 277.258872224 8.77258872224 4.03107101859 -8.04112917236 
50142 279.807521465 212.216230345 216.721396704 0.499999753215 217.047439234 277.258872224 185.980219608 0.0180943962808 -0.185017012023 
4105 280.990912183 276.874471561 272.226089425 0.141427031093 281.653012255 277.258872224 276.828207281 0.0236370200311 0.10819733782 
1000 276.198383756 274.854764934 276.627363472 0.181817705062 277.088706463 277.258872224 276.769288753 0.0688864504245 0.0415248186622 
1001 233.86297038 221.674751548 240.890933451 0.499997305703 240.69746902 277.258872224 229.338709583 0.141009131915 -0.0553169569124 
1002 281.258872224 277.073304323 277.985009035 0.202016532921 281.145693238 277.258872224 278.377484031 -18.4487128071 0.0245617344165 
1003 155.319891461 152.901367415 207.932475072 0.499999953338 157.998637357 277.258872224 146.92515612 0.201239766901 -0.0751577249143 
1004 279.026246647 264.896921844 265.130330919 0.101022189685 278.557401259 277.258872224 273.146282613 12.1396561879 0.117232030599 
1005 275.889642254 276.903630684 277.257335726 0.313132109427 278.06149977 277.258872224 277.038708062 0.0805323942171 0.0354519798002 
1006 274.32017355 268.217744503 274.725578962 0.161615608239 279.357200192 277.258872224 275.882727609 22.2656678402 0.0239733633547 
1007 227.172572372 218.992533753 277.836274351 0.303030005069 253.831365369 277.258872224 228.838481564 54.6538494966 0.0243009366808 
1008 269.544275178 271.388808311 279.17561481 0.262626856637 270.356715821 277.258872224 267.461653107 0.117199131958 0.0775157831659 
1009 255.6264219 245.058869907 253.983260914 0.48485241626 247.994108666 277.258872224 255.236846075 0.122704038877 -0.0421936893804 
1010 254.340864001 252.222449979 279.255512736 0.252523443387 251.203179583 277.258872224 250.553462901 0.179602332053 0.0957054069641 
1011 64.9223581316 66.2933461098 170.579722927 0.499999750175 83.3715551194 277.258872224 65.9622119796 0.362279527529 -0.0595195093367 
1012 280.869534266 282.128365959 278.319547456 0.292935634712 270.524816186 277.258872224 282.471248564 19.962117639 -0.0185166231482 
1013 280.34190659 252.631388939 250.911631128 0.050504566835 282.234636402 277.258872224 242.16816503 0.079809147749 0.397000709392 
1014 281.222319358 256.41958933 257.499139903 0.0707085095972 273.845920335 277.258872224 275.929134866 -0.0783687444249 0.0708566098094 
1015 73.4801263851 64.4239552143 161.790850096 0.499999696214 105.246351025 277.258872224 75.1931954443 0.527947249446 -0.0395527916521 
2010 269.656350694 257.63639507 272.226089292 0.141412453065 277.727360275 277.258872224 260.932892848 38.2554098948 0.144195062794 
2011 281.245982085 246.036819184 242.59335204 0.0303072770067 281.080363544 277.258872224 270.64913128 0.0110363063603 0.156098228047 
2012 258.558297835 251.072936933 277.985009068 0.202011990856 254.945811415 277.258872224 255.037913533 0.161737962312 0.0896734835427 
2013 279.472233536 280.293412915 277.985009028 0.202021927392 279.959803012 277.258872224 275.27127035 0.0544151885203 0.108482197404 
