subj RL RL_auto switch switch_prob bias random
62051 36.0645740404 37.8858429553 157.396431219 0.499999621457 47.9065973848 277.258872224 
62052 280.81865402 271.977356286 269.059085036 0.121211770598 282.707476103 277.258872224 
62053 278.089126359 276.41645819 276.627363472 0.18181771866 274.074803754 277.258872224 
4444 239.952167308 226.830938399 279.091185286 0.232317820336 249.811091878 277.258872224 
4445 275.459739926 277.06753945 279.228361463 0.242425424888 276.737251858 277.258872224 
4446 237.568047812 190.610778427 212.326951528 0.499999753002 225.359133239 277.258872224 
4447 281.212422838 234.531543299 231.280702479 0.0100927798636 283.098829588 277.258872224 
62054 6.77258872224 8.19722457734 142.015772087 0.499999894915 8.99183545469 277.258872224 
62055 281.258872224 246.072292142 237.470584527 0.0202043837364 283.178851034 277.258872224 
62056 280.227801698 243.152959103 242.593351981 0.0303036553978 281.973354359 277.258872224 
62057 242.207264486 214.030601802 277.371342483 0.191921404276 246.1626981 277.258872224 
62058 76.3043926423 68.8880685994 161.790796602 0.49999986132 78.3894085007 277.258872224 
62059 6.77258872224 8.19722457734 142.015857469 0.499999679303 8.57721093129 277.258872224 
62060 277.770320407 260.128462972 262.840747958 0.0909092987581 279.223917996 277.258872224 
62061 167.706102412 169.097457543 223.313051007 0.499999888273 167.265018318 277.258872224 
62062 52.0315573082 51.2585132306 157.396323584 0.499999938031 47.906603899 277.258872224 
62063 262.99393131 261.581074289 278.840708597 0.222218807197 262.193515824 277.258872224 
62064 145.882276094 146.517721151 227.707497226 0.499999901948 181.754150173 277.258872224 
62065 270.075155707 245.626360759 262.84074806 0.0909183393027 272.935239274 277.258872224 
62066 87.5477016607 89.5431118914 183.763018839 0.499999912311 100.206516651 277.258872224 
62072 83.4822815297 82.795453843 172.77688236 0.499999972522 92.7945951556 277.258872224 
62073 241.376496507 199.722105591 216.721436757 0.499999430206 187.655837886 277.258872224 
62075 156.185041968 155.254391494 212.326927163 0.499999927037 175.622466588 277.258872224 
