subj RL RL_auto switch switch_prob bias random
20162 281.258872224 268.225134064 265.130330763 0.101011905566 282.195831531 277.258872224 
20163 279.467847213 263.415422847 262.840748028 0.0909167518945 279.970761218 277.258872224 
20164 281.258872224 240.932722029 237.470584529 0.0201995470859 283.098829693 277.258872224 
20169 279.642856749 247.050709989 242.593351982 0.0303021523658 281.08036323 277.258872224 
62036 281.18838385 250.289744556 247.015689803 0.0404128900263 282.4571133 277.258872224 
62037 280.751921802 265.349223183 262.840747998 0.0909032680854 280.407338451 277.258872224 
62038 234.157276751 215.660754144 232.101974502 0.499999465325 218.148043434 277.258872224 
62039 104.142953831 106.142289103 192.551912919 0.499999919022 134.074996843 277.258872224 
62040 281.069482394 245.659513817 242.593352004 0.0303057230723 282.688167882 277.258872224 
1111 170.298676051 161.869771488 256.01877579 0.474753252387 225.441376143 277.258872224 
1112 136.412626808 138.342163897 207.932477742 0.499999936226 159.630911998 277.258872224 
1113 280.075400484 272.524961222 270.731214451 0.13131250502 281.08036345 277.258872224 
1114 271.168450817 252.83017209 267.197106937 0.111090335007 274.148231531 277.258872224 
1115 281.258872224 257.403065848 254.383585385 0.0606051252157 282.234636387 277.258872224 
62041 281.253093607 240.88477898 237.470584719 0.0201953858527 281.8933331 277.258872224 
62042 281.252851214 240.869038281 237.47058475 0.020194930377 283.098829979 277.258872224 
62043 281.258872224 254.418432512 247.015689804 0.0404129232967 283.021887819 277.258872224 
