subj RL RL_auto switch switch_prob bias random lag Bev Blag
62021 112.204534361 108.609381456 109.34913798 0.128196031398 114.372264916 110.90354889 96.688763328 0.267156700493 0.489056555505 
62022 114.90354889 105.375753416 97.5683829427 0.0256448450398 116.703214353 110.90354889 94.174891581 0.359917896083 0.538625077754 
62023 114.90354889 105.36033377 101.847192224 0.0512820537561 116.703214321 110.90354889 74.7515276617 15.6341358072 1.0220776995 
62024 114.890704445 100.924364414 97.568382931 0.025643690385 116.502879674 110.90354889 95.5873008821 0.0713945781597 0.505852753091 
62025 113.061282273 89.9221638116 90.4643472384 0.0 93.8393860864 110.90354889 115.061396737 0.0525206320988 2.01669116204e-09 
62026 16.9135541628 18.3350588885 61.0353362735 0.499999710201 61.4541242422 110.90354889 10.9887664826 69.9082614659 10.7000984749 
62027 114.701953379 107.781773573 105.025444605 0.0769248862025 116.502879698 110.90354889 105.02557238 59.1758573302 0.352901872413 
62028 114.90354889 108.608066423 101.847192225 0.051283124855 115.897793894 110.90354889 102.40175613 9.96803227162e-10 0.395705822541 
62029 114.90354889 101.044306449 97.5683829467 0.0256451704985 116.703214309 110.90354889 38.5293697636 2.03882220784 2.32027829082 
20162 111.733071352 109.546190373 110.768195525 0.153834637546 115.548864171 110.90354889 103.383308489 78.1186306703 0.346297002516 
20163 114.010564031 106.873306684 105.025444605 0.07692122245 114.875192826 110.90354889 86.6454880353 18.9447901693 0.776934845486 
20164 114.90354889 93.8889830934 90.4643472384 0.0 116.703214349 110.90354889 49.5596778535 7.00377610341 1.75847057727 
20169 113.852799368 103.054703064 97.5683831233 0.0256524428192 115.548864222 110.90354889 81.2469582146 21.2432078006 0.869544374198 
62036 114.342798168 107.339674697 105.025444653 0.0769325382914 115.042052705 110.90354889 102.357873207 0.0844170020268 0.377323775517 
62037 114.90354889 108.608066433 105.025444606 0.076921207168 114.845601735 110.90354889 99.5614405043 24.7701039156 0.446440513804 
62038 78.4703721292 80.4703721385 87.4019939674 0.499999891228 79.8224429459 110.90354889 80.4703723347 0.248968682294 1.3284720198e-08 
62039 79.6639840024 81.6492176284 102.756916517 0.487177291971 91.8834279526 110.90354889 79.7644729054 50.9016935139 0.152455969285 
62040 114.845042039 105.105271597 101.847192224 0.0512816575661 116.502879654 110.90354889 79.378958266 0.121639631842 0.911889101508 
1111 114.90354889 94.159086884 90.4643472384 0.0 116.903549066 110.90354889 46.6600352685 3.36269805219e-09 1.92580896724 
1112 72.2792339304 71.2839667107 102.756916525 0.48718685664 91.8834278759 110.90354889 56.8148523777 850.231531976 0.906740865953 
1113 114.796484744 112.788610245 109.349137952 0.12820548254 115.897793804 110.90354889 100.522758587 0.0534900440436 0.420243054287 
1114 114.604415297 104.304698241 101.847192253 0.0512880617414 115.897793702 110.90354889 91.4881597936 0.425462216911 0.584730031969 
1115 114.90354889 105.375753409 101.847192224 0.0512822543969 116.703214314 110.90354889 74.9035628864 2.98433425459 1.02444525799 
