subj RL RL_auto switch switch_prob bias random lag Bev Blag
12312 107.256696411 109.256696443 185.960245373 0.499999901045 111.690936591 277.258872224 86.7511095576 0.883861557371 0.29095536515 
12314 73.8651480819 75.8651483385 170.579675267 0.499999913395 79.0690038874 277.258872224 65.2284290846 1.53897237284 0.189740507328 
12315 116.915608318 118.915608336 190.354674446 0.49999998513 122.359872333 277.258872224 111.627826402 0.51693638963 0.0811383955093 
12316 114.317710788 116.317711062 192.551950736 0.49999974064 117.204480989 277.258872224 110.073754492 0.463001317999 0.0635039274069 
12317 125.580660098 127.580660341 190.354688988 0.499999919031 128.966945024 277.258872224 91.0424192297 1.140707805 0.450408871244 
12318 29.4807805874 31.3199708387 155.199088111 0.499999970765 55.2057555607 277.258872224 27.4088254742 165.09960595 0.826191480272 
12319 53.6090581427 55.6090583113 159.5935694 0.499999872566 64.5768531249 277.258872224 55.609058732 0.500968423475 6.7021296949e-09 
12320 36.4406409646 38.4406413111 155.199128781 0.499999853898 56.25225224 277.258872224 38.4406412982 0.615262227969 2.20293922722e-08 
12329 167.446083923 169.446086943 212.326947767 0.499999779861 173.318649359 277.258872224 161.221274281 0.437063958959 0.110164362714 
12330 136.784689309 138.784690357 194.749173628 0.499999738731 139.82874 277.258872224 113.958694652 0.677191862509 0.255494017659 
-1 112.033532314 114.033532404 183.763011308 0.499999943174 117.607191363 277.258872224 104.039245018 0.658254583261 0.17576866736 
12343 129.352180421 131.352180432 199.143591206 0.499999884455 128.587827269 277.258872224 131.352180463 0.348525052248 1.42520248036e-10 
12344 68.0456930748 70.0456938092 170.579652987 0.499999989698 92.114999173 277.258872224 69.333504243 1.2644682251 0.0883702461936 
12345 134.627640779 136.627640872 196.94635427 0.499999952225 144.88830511 277.258872224 95.2531098114 1.37636005191 0.592668468598 
12346 33.755380561 35.6125528503 157.396348741 0.499999864039 56.252252128 277.258872224 32.8931303045 9.52846601654 0.615126961601 
12347 34.9178808648 36.2098851179 159.593558352 0.499999905844 64.576854469 277.258872224 31.9438500113 127.074016274 0.619162892714 
12348 56.5377366002 58.537737916 163.987980243 0.499999987351 64.5768541936 277.258872224 58.4023202821 0.523155544367 0.012263788824 
12359 32.3897079171 34.2695551963 155.199101424 0.499999932508 47.9066016861 277.258872224 34.3897085652 0.612680620692 8.53660486724e-09 
12360 151.116382665 153.116383012 185.960262455 0.499999828666 147.66931613 277.258872224 148.686020193 0.391011408873 0.080032394799 
12361 59.6443246858 61.6443246923 163.987977659 0.499999995529 71.8336851542 277.258872224 57.9674516308 7.04209718037 0.667144340252 
12362 70.346088497 72.3516058161 161.790807179 0.499999828672 103.658701433 277.258872224 72.3933532222 7.32952410157 3.11255448817e-11 
12363 162.513438152 164.513439874 223.313044731 0.499999951031 174.30862744 277.258872224 164.274644242 0.340245016242 0.0129628474405 
12386 130.116124553 132.116125223 194.749138437 0.499999911238 134.409891368 277.258872224 91.9437969342 1.18758708956 0.485146201151 
12387 118.170355062 120.170367242 192.551921543 0.499999878345 128.966943537 277.258872224 109.719517097 0.977820051423 0.148284111724 
12388 174.326329653 176.326329834 221.115851759 0.499999662022 181.976832183 277.258872224 158.119473179 0.567345863167 0.215601144865 
12389 19.8435027227 20.3168215542 150.804765452 0.499999624534 39.5401106262 277.258872224 18.9440814993 198.40756583 2.03955783586 
12390 70.2739975457 71.2204737338 172.776912388 0.499999866787 78.3894076101 277.258872224 72.074141893 0.484209013619 0.0126863266008 
12391 35.7774905947 37.6622838796 155.199128016 0.499999856095 47.906599472 277.258872224 37.7774922476 0.605582096937 2.887774889e-08 
12405 80.8625586992 82.8625591055 172.776929781 0.499999805545 84.4180520142 277.258872224 82.8625595017 0.413670380196 1.22730482512e-08 
12406 18.7182407432 17.200451992 150.804638202 0.499999974121 39.5401108418 277.258872224 12.6691834248 77.9528585197 7.07566902106 
12417 150.738789656 152.738789743 201.340809075 0.499999916589 154.933050947 277.258872224 134.600899521 0.578096233645 0.210224135181 
12418 130.544985596 132.118647789 205.735268655 0.499999844886 134.074997149 277.258872224 95.2983450834 0.939047190509 0.372086080582 
12426 256.960205244 258.960205912 192.551930812 0.499999834621 204.134093673 277.258872224 258.960213356 0.118604340595 3.6990914023e-10 
12427 122.223490205 124.223491342 188.157451538 0.499999978329 138.872258572 277.258872224 122.92998356 0.427518443689 0.0243719226216 
