subj Lag CW CCW 
12312 86.751109537 350.752065978 335.371505374 
12314 65.2284290834 348.554881352 352.94934044 
12315 111.627826369 335.371495698 339.766006514 
12316 110.073754436 337.568767174 341.963172454 
12317 91.0424192187 341.963173708 330.977063009 
12318 27.4043897813 357.343826822 348.554853401 
12319 55.6090595907 348.5548632 352.949322558 
12320 38.4406412365 355.146515388 357.343759933 
12329 161.221274017 324.385431208 333.174280929 
12330 113.958694635 344.160409788 341.963180286 
-1 104.039244998 346.35764499 341.963221903 
12343 131.352181041 328.779823996 339.766016844 
12344 69.3335042409 344.16040714 350.752171712 
12345 95.2531098043 341.963169527 335.371501611 
12346 32.8931303045 350.752115011 357.343766478 
12347 31.9443928317 350.75209176 352.949395976 
12348 58.4023203108 348.554866258 355.146564725 
12359 34.3897080233 355.14652421 350.752127419 
12360 148.686020055 357.343742691 322.188266196 
12361 57.9674516308 346.357672608 355.14652243 
12362 72.3894877801 352.949310452 357.343747798 
12363 164.274644238 348.554861117 346.357660459 
12386 91.9437969286 324.385508973 350.752065524 
12387 109.719517094 328.779844789 346.357623332 
12388 158.119473078 341.963188161 339.76594972 
12389 18.9307515766 359.541064279 352.949295817 
12390 72.0741418884 344.160393981 348.554896825 
12391 37.7774914133 350.752101685 357.343748142 
12405 82.8625588702 335.371511886 352.949330788 
12406 12.6691834232 357.343752192 355.146542261 
12417 134.600899378 330.97704809 341.963222101 
12418 95.2983450833 330.977057453 341.963197369 
12426 258.960205828 346.357641592 339.765959742 
12427 122.929983255 341.963196004 348.554843764 
