subj Lag CW CCW 
62021 238.985144232 282.638154011 311.202103838 
62022 244.001360945 287.032579194 273.849221288 
62023 212.463637609 295.821527115 247.391587185 
62024 211.428885416 291.427005665 232.017658832 
62025 202.688816197 330.977065887 304.610351581 
62026 82.6674683704 348.554852952 355.146534425 
62027 275.645726057 293.624228727 289.229782455 
62028 272.068236693 278.243668012 276.046468288 
62029 116.524588715 355.14652854 63.2250473653 
20162 258.624866767 280.440909417 273.849217429 
20163 219.602542656 245.032652938 304.610401163 
20164 196.549582045 304.610418054 249.669633582 
20169 202.046872435 278.243654458 254.074214667 
62036 213.589127929 304.610389027 247.391587233 
62037 261.743120703 282.638201736 282.638106632 
62038 236.157277016 315.596554729 326.582603357 
62039 106.142963674 337.568768187 348.554849706 
62040 193.40770024 306.80758565 229.168228029 
1111 165.984670257 254.074184731 350.752150926 
1112 122.464500853 335.371515956 344.160439358 
1113 230.280056884 295.821463546 313.399259668 
1114 245.072311093 265.06032676 295.821475331 
1115 222.347246057 304.610372409 223.218921721 
62041 206.99003546 291.427012996 282.63814195 
62042 110.188864176 116.223144334 339.765980313 
62043 210.33998616 357.3437524 91.5495891517 
50018 245.11627346 271.652057258 300.215916691 
50019 273.981872333 300.215982997 278.24365434 
50020 41.0720404797 344.160403443 355.146514751 
50117 154.599288514 110.333820305 352.949339374 
50119 252.945587506 153.231515827 355.146518525 
50023 207.93824157 317.793770225 302.413200796 
50024 238.061743543 267.25763369 306.807583631 
50025 254.615367203 273.849211925 289.229807566 
50026 270.250443761 302.413130321 276.046442072 
50027 209.792104297 309.004832425 328.779861493 
50028 23.3199967748 357.343766229 350.752095559 
50029 166.200903643 91.5495891503 355.146546075 
50122 106.216667383 337.568733717 333.174287447 
50123 88.2979500137 344.160427278 341.963170059 
50124 167.938501292 330.977063007 317.793713926 
50030 242.928869145 322.188149989 278.243694401 
50031 204.214768358 295.821454343 229.168228051 
50032 117.603781108 300.215928563 306.807609851 
50033 224.3546163 242.592698296 300.215946953 
50034 274.540058275 289.229814815 287.032621782 
50136 236.650532126 328.779826724 309.004808233 
50137 277.352252984 240.071523921 326.582616681 
50138 256.778037268 276.046463582 287.032579369 
